"","logFC","logCPM","PValue","FDR"
"YPL134C",1.58941479177228,6.52152433413661,2.01957710809474e-47,5.53233229101693e-46
"YBR031W",-0.405724588425889,11.3357257069724,4.49588160997266e-47,1.22590467678379e-45
"YOR382W",-0.485880682204858,9.38258711313832,6.80669246552703e-47,1.84748620727172e-45
"YOR127W",1.15266866290651,7.15340385755093,2.42218452439518e-46,6.54432229719009e-45
"YML001W",1.09448391748334,7.2782420633223,2.66774359752425e-46,7.1750176666141e-45
"YOR261C",0.90611665237337,7.8235745585884,3.10563527588492e-46,8.31495200335343e-45
"YNR050C",-0.931126399402294,7.40860230958349,4.27004634496739e-46,1.13810199203478e-44
"YLR250W",1.08330015351108,7.32718892270684,5.65495348722774e-46,1.50046456430164e-44
"YLR079W",1.31769553815715,7.0712840283725,9.55580805212036e-46,2.52418376091054e-44
"YJR010W",1.60315514609442,6.69510792965361,1.73158910051479e-45,4.55369453677601e-44
"YER073W",-0.820045355614094,8.71836772675114,2.00297819692532e-45,5.24408052708281e-44
"YKR058W",-0.96680188380085,7.27842243211766,2.62444326908746e-45,6.84089463576673e-44
"YGL030W",-0.27346752786108,11.0062665244795,2.74955520570744e-45,7.13557813691706e-44
"YGR138C",-1.75367453498215,6.32698464577055,3.18758169156311e-45,8.23620998645369e-44
"YDR309C",1.46170045434762,6.76602985223594,4.33350499905243e-45,1.11484126432144e-43
"YNL079C",0.561188818536861,9.0181451420447,7.00037192463026e-45,1.7931255704778e-43
"YER133W",0.918260702071271,7.79801154595994,8.77990982852957e-45,2.2392554506642e-43
"YPR008W",1.02158440043686,7.58785471094122,1.08873168403759e-44,2.76481775727487e-43
"YKL029C",-1.00557404190169,7.4406256555123,1.09802993812634e-44,2.77651416405707e-43
"YDR086C",1.091676638324,7.39864837976243,7.61952989264409e-44,1.91850035637341e-42
"YHR054C",4.34315210162875,4.70556120874747,1.09766900731425e-43,2.75207945605017e-42
"YNL300W",-1.51082563650564,6.19248251449824,2.08846003210566e-43,5.21410042614734e-42
"YDR335W",0.817830693417019,7.89774472268732,5.05257088876493e-43,1.2561370566732e-41
"YCL064C",-0.677082772183184,8.22004999127784,6.82070008970406e-43,1.68862269584849e-41
"YKL032C",0.762065713085503,8.27227964661496,1.40199754988295e-42,3.45650812610725e-41
"YPR080W",-0.26660875656109,13.2690494458476,1.52699108958412e-42,3.74904824774656e-41
"YLR314C",0.737514462090389,8.1815329277833,1.89488466353788e-42,4.63307130336928e-41
"YDR054C",0.815031466642859,7.87613193697253,2.66344698324221e-42,6.48543860075891e-41
"YLR056W",-0.649035715025259,8.51403748224795,3.42962515444765e-42,8.31684099953554e-41
"YGL123W",-0.27573354512053,11.4298018055819,5.89675775446858e-42,1.42412716870166e-40
"YBR070C",2.01499876194752,5.73373212410086,7.91205130073443e-42,1.90307347749779e-40
"YJL078C",-0.678748400197961,8.17586329779725,1.20508397582592e-41,2.88683477123967e-40
"YOL143C",-0.664706155873911,8.29990473527064,1.75708096218547e-41,4.19219679566589e-40
"YML100W",-0.502307859177356,9.6222079692326,3.04780097578726e-41,7.24250537097719e-40
"YMR031C",0.650094636322715,8.54634214298377,3.78449535642134e-41,8.95714360957803e-40
"YOL039W",0.465732598926065,9.57369304801228,4.56499898537966e-41,1.07613940225066e-39
"YBR054W",-1.86242805091498,5.33497939016825,5.01759031817191e-41,1.17813817113584e-39
